Sertraline-end,97898
Escitalopram-end,81982
Citalopram-end,81902
Fluoxetine-end,48870
Bupropion-end,42836
venlafaxine-end,30138
duloxetine-end,23228
Escitalopram-Citalopram-end,16062
Mirtazapine-end,13738
Escitalopram-Bupropion-end,11996
Trazodone-end,11770
Sertraline-Bupropion-end,10196
Amitriptyline-end,9674
Citalopram-Bupropion-end,8778
Citalopram-Escitalopram-end,7366
Sertraline-Trazodone-end,7278
Paroxetine-end,7124
Sertraline-Escitalopram-end,7078
Fluoxetine-Bupropion-end,6564
Citalopram-Trazodone-end,6288
Citalopram-Sertraline-end,6232
Escitalopram-Sertraline-end,6222
Bupropion-Escitalopram-end,5514
Sertraline-Citalopram-end,5232
Escitalopram-Trazodone-end,5196
Trazodone-Sertraline-end,4724
Escitalopram-duloxetine-end,4586
Bupropion-Sertraline-end,4530
Trazodone-Citalopram-end,4500
Bupropion-Citalopram-end,4454
Escitalopram-venlafaxine-end,4414
Sertraline-venlafaxine-end,4230
Citalopram-venlafaxine-end,4058
Sertraline-Mirtazapine-end,3940
Sertraline-duloxetine-end,3894
Fluoxetine-Trazodone-end,3830
Citalopram-Mirtazapine-end,3792
Fluoxetine-Sertraline-end,3720
venlafaxine-Bupropion-end,3714
Trazodone-Escitalopram-end,3692
Citalopram-duloxetine-end,3518
Sertraline-Fluoxetine-end,3466
Bupropion-Fluoxetine-end,3448
Fluoxetine-Escitalopram-end,3396
Escitalopram-Fluoxetine-end,3350
Citalopram-Fluoxetine-end,3130
Nortriptyline-end,3110
Fluoxetine-Citalopram-end,3084
Desvenlafaxine-end,3034
Escitalopram-Mirtazapine-end,3006
Bupropion-Trazodone-end,2836
Fluoxetine-venlafaxine-end,2548
duloxetine-Bupropion-end,2520
Trazodone-Fluoxetine-end,2502
Bupropion-venlafaxine-end,2450
Sertraline-Amitriptyline-end,2302
venlafaxine-Escitalopram-end,2260
Bupropion-duloxetine-end,2222
venlafaxine-Trazodone-end,2174
duloxetine-Trazodone-end,2164
Fluoxetine-duloxetine-end,2162
Amitriptyline-Citalopram-end,2064
venlafaxine-Sertraline-end,2050
Mirtazapine-Citalopram-end,2024
Trazodone-Bupropion-end,2018
Escitalopram-Citalopram-Bupropion,1980
venlafaxine-duloxetine-end,1960
venlafaxine-Citalopram-end,1942
Citalopram-Amitriptyline-end,1936
Amitriptyline-Sertraline-end,1926
Doxepin-end,1922
Mirtazapine-Sertraline-end,1894
Escitalopram-Bupropion-Citalopram,1812
Escitalopram-Amitriptyline-end,1742
Citalopram-Escitalopram-Bupropion,1690
Escitalopram-Bupropion-duloxetine,1648
Trazodone-Mirtazapine-end,1646
Sertraline-Escitalopram-Bupropion,1634
Sertraline-Bupropion-Escitalopram,1626
duloxetine-Sertraline-end,1592
duloxetine-Escitalopram-end,1580
Trazodone-duloxetine-end,1532
Amitriptyline-duloxetine-end,1522
Escitalopram-Citalopram-Sertraline,1500
Sertraline-Escitalopram-Citalopram,1498
Amitriptyline-Escitalopram-end,1474
duloxetine-Citalopram-end,1448
Escitalopram-Bupropion-Sertraline,1436
Escitalopram-Citalopram-Trazodone,1418
